title,price_raw,location_raw,url,description,price
Crate & Barrel Genuine Leather chairs,$900,Brooklyn,https://newyork.craigslist.org/que/fuo/d/brooklyn-crate-barrel-genuine-leather/7926017446.html,QR Code Link to This Post Selling two Crate & Barrel leather chairs — priced to sell. Smoke free and pet free household. Delivery available,900
White Electric Adustable Standing Desk,$149,Upper East Side,https://newyork.craigslist.org/mnh/fuo/d/new-york-white-electric-adustable/7909767203.html,"QR Code Link to This Post Selling a nice, classic adjustable desk in white. Good condition. Pick up between UES and East Harlem on 108th ST. Must go soon!",149
2 White Classic Nightstand Drawers,$150,Upper East Side,https://newyork.craigslist.org/mnh/fuo/d/new-york-white-classic-nightstand/7909766420.html,"QR Code Link to This Post Selling two identical nightstand drawers in good condition. Minor signs of use, one has a minor chip on top. 3 drawers. Dimensions: 17 3/4"" W x 21 1/2"" H x 15 D For pickup between UES and East Harlem on 108th St. Must go soon!",150
Bar Stools Set of 4 Wood Seaweed Saddle Stools,$100,Upper East Side,https://newyork.craigslist.org/mnh/fuo/d/new-york-bar-stools-set-of-wood-seaweed/7909766973.html,"QR Code Link to This Post Selling 4 wooden bar stools with seaweed woven seat. Good condition! 25.5"" high, 17.5"" wide, 13.5"" deep For pickup between UES and East Harlem on 108th St.",100
IKEA BOAXEL Wall Shelf White / Oak,$129,Upper East Side,https://newyork.craigslist.org/mnh/fuo/d/new-york-ikea-boaxel-wall-shelf-white/7909767125.html,"QR Code Link to This Post Selling an IKEA wall shelf in white/oak. Great condition, bought a year ago. Pick up between UES and East Harlem on 108th St. Must go soon!",129
Mid-Century Modern White Designer Chair Wooden Legs,$50,Upper East Side,https://newyork.craigslist.org/mnh/fuo/d/new-york-mid-century-modern-white/7909767033.html,QR Code Link to This Post Selling a classic modern white chair with wooden legs. Great condition. Pick up between UES and East Harlem on 108th St. Must go soon!,50
Faux Marble High Table with Bar Stools,$50,Upper East Side,https://newyork.craigslist.org/mnh/fuo/d/new-york-faux-marble-high-table-with/7909766852.html,"QR Code Link to This Post Selling a nice classic high table with faux marble top and two stools. The stools have a custom upholstery and may need to be redone. Minor signs of use, good condition. Dimensions: 36"" high, 42"" long, 22"" deep. Stools: 25"" x 13.75"" x 13.75"". For pickup between UES and East Harlem on 108th St. Must go soon!",50
Black Tray Side Table,$15,Upper East Side,https://newyork.craigslist.org/mnh/fuo/d/new-york-black-tray-side-table/7909766557.html,QR Code Link to This Post Selling a classic side tray table in black. Dimensions: 17 1/2x21 For pick up between UES and East Harlem on 108th St. Good condition. Must go soon.,15
VALYOU Feather Cloud Couch Washable 4 Seater Beige,$550,Upper East Side,https://newyork.craigslist.org/mnh/fuo/d/new-york-valyou-feather-cloud-couch/7909766646.html,"QR Code Link to This Post Selling a beautiful and ultra comfortable sectional deep couch as I need to move to another state and can't take the couch unfortunately. Good condition, washable. Dimensions: 103:W x 39""D x 32""H For pickup between UES and East Harlem on 108th St. Must go soon!",550
Antique Wooden Book Shelf,$250,Upper East Side,https://newyork.craigslist.org/mnh/fuo/d/new-york-antique-wooden-book-shelf/7909766741.html,"QR Code Link to This Post Selling a beautiful old wooden book shelf with 3 book shelves, 1 drawer and 2 hidden shelves behind sliding doors. Decent condition. Dimensions: 36"" W x 13""D x 67""H For pickup between UES and East Harlem on 108th St. Must go soon!",250
Electric Standing Desk Adjustable With Drawer Maple Wood White,$80,Upper East Side,https://newyork.craigslist.org/mnh/fuo/d/new-york-electric-standing-desk/7909767358.html,"QR Code Link to This Post Selling 2 electric standing desks either together or individually. Great condition, great value. Dimensions: 40""W x 24"" D $80 each or $150 for both. Pick up between UES and East Harlem on 108th St. Must go soon. Selling also a larger white electric adjustable standing desk and other furniture:",80
Brand New Muuto & Knoll Office Chairs,$150,Port Chester,https://newyork.craigslist.org/wch/fuo/d/port-chester-brand-new-muuto-knoll/7911515127.html,"QR Code Link to This Post - Black Muuto Fiber Armchair w/ Sled Base, based on availability -  White Muuto Fiber Armchair w/ Sled Base, based on availability - ~(1,000) White Muuto Fiber Side Chair w/ Wood Base - Black Frame, Off-White Shell Knoll MultiGeneration Chair w/ Onyx Seat Pad, based on availability All chairs brand new, in box. $150/each, cash pick-up. Delivery available at extra charge for bulk orders. Email/call/text Phil for inquiries.",150
Bookshelves,$20,Upper West Side,https://newyork.craigslist.org/mnh/fuo/d/new-york-bookshelves/7926016828.html,QR Code Link to This Post 3 bookshelves in excellent condition: $20/each I am moving. I have 4 sets and must go before April 30 2026. I will accept any reasonable offer. I am nearby Columbia University at Broadway and 123rd St. The dimensions is : (1.) Black bookshelf: 79” H x 23.5” W x 11” D (2.) light oak color bookshelf: 79” H x 31.5” W x 11” D (3.) Oak color bookshelf: 71” H x 29” W x 12” D,20
Professional Barber Chair,$900,brooklyn,https://newyork.craigslist.org/brk/fuo/d/brooklyn-professional-barber-chair/7916042947.html,"QR Code Link to This Post Selling a high-quality professional barber chair in great condition. Very sturdy, comfortable, and fully functional. ✔️ Hydraulic lift works perfectly ✔️ Reclines smoothly ✔️ Heavy-duty base (very stable) ✔️ Clean and well maintained ✔️ Perfect for barber shop, salon, or home setup No rips or major damage. Ready for immediate use.",900
West Elm Industrial Cabinets - Mango Wood - 2 Available - Like New,$400,Bay Ridge,https://newyork.craigslist.org/brk/fuo/d/brooklyn-west-elm-industrial-cabinets/7924192734.html,"QR Code Link to This Post Industrial Open & Closed Storage Bookcase (49"") Dimensions: 49""w x 17""d x 84""h Regular price $1,500 2 Available 1 does not have the shelves and a minor crack on the surface of the lower cabinet. It is on the back corner and is barely noticeable.   This one is being sold for $400 The other one is complete, no damages and inlcludes all the shelves. This one is being sold for $600 Buy both for $900. These cabinets have been in a very clean office environment. But they have been carefully disassembled and moved to my home.  Disassembled make sit easier for transport. Solid mango wood cabinets with iron posts on each corner.  Very sturdy and strong cabinet.   I will help you load your vehicle.  This is not like the flimsy compressed wood furniture, the bolts are made to be taken off and reinstalled.  I will provide the instructions if necessary for this reinstallation. Comes with tags and hardware to secure to wall due to its height. Available for pick up in Bay Ridge, Brooklyn.  Cabinet has been disassembled and ready for transport.  Best offer considered.",400
Office Chair,$1,Industry City,https://newyork.craigslist.org/brk/fuo/d/brooklyn-office-chair/7922745623.html,QR Code Link to This Post Used office Chair. Ripped in some areas but still usable. Moving out so whoever wants it can come get it Sunday,1
Ikea Galant Desks - 2 Avaliable,$20,Bay Ridge,https://newyork.craigslist.org/brk/fuo/d/brooklyn-ikea-galant-desks-avaliable/7921971663.html,"QR Code Link to This Post 47 ¼"" Width x 23 ⅝"" Depth Manually adjustable height Birch and black leg frame 2x Available",20
Black Leather Office Chair,$5,Industry City,https://newyork.craigslist.org/brk/fuo/d/brooklyn-black-leather-office-chair/7920788531.html,"QR Code Link to This Post The chair is used and does show signs of use. However, where you sit is still very good condition.  You raise and lower seat without issues.",5
Evo Desk 30x79 Single Column Dark Bamboo Wood Desk,$600,Bay Ridge,https://newyork.craigslist.org/brk/fuo/d/brooklyn-evo-desk-30x79-single-column/7919461781.html,"QR Code Link to This Post Evo Desk adjustable sitting/standing desk. In a satellite office for 3 years. Paid $1,850 for it Very sturdy and solid desk. Downsizing so no longer needed. 30x79 dark bamboo wood Cable management included and built in power strip. Very heavy desk but upon your inspection, I can take it apart so it is more easily manageable to move. I will also help you load it to your vehicle.  Table top can be separated from legs.",600
Ikea Wall clamp Lamp w/ bulb,$10,Bay Ridge,https://newyork.craigslist.org/brk/fuo/d/brooklyn-ikea-wall-clamp-lamp-bulb/7916935074.html,QR Code Link to This Post Very clean fully functioning lamp. In storage for a while Works well and sold with a screw in clamp versus the clips that are being used now.,10
